Skill_Archer_EagleEye_Name,Eagle Eye
Skill_Synergy_PiercingArrow_Name,Piercing Arrow
Skill_Synergy_PiercingArrow_Desc,Fires an arrow that pierces through armor.
Skill_Synergy_PoisonArrow_Name,Poison Arrow
Skill_Synergy_PoisonArrow_Desc,Fires a poisoned projectile that deals continuous damage.
Skill_Synergy_Purify_Name,Purify
Skill_Synergy_Purify_Desc,Cleanses the body and restores HP based on Magic.
Skill_Synergy_SacredBlade_Name,Sacred Blade
Skill_Synergy_SacredBlade_Desc,A divine blade strike dealing massive Light damage.
Skill_Synergy_SacredStrike_Name,Sacred Strike
Skill_Synergy_SacredStrike_Desc,A holy-infused martial arts strike.
Skill_Synergy_ShadowBolt_Name,Shadow Bolt
Skill_Synergy_ShadowBolt_Desc,Fires a bolt of dark energy at a single target.
Skill_Synergy_ShadowSlash_Name,Shadow Slash
Skill_Synergy_ShadowSlash_Desc,A shadow-enhanced strike dealing Dark damage with AGI bonus.
Skill_Synergy_SmokeBomb_Name,Smoke Bomb
Skill_Synergy_SmokeBomb_Desc,Throws a smoke bomb to increase evasion temporarily.
Skill_Synergy_SneakPunch_Name,Sneak Punch
Skill_Synergy_SneakPunch_Desc,A quick punch from the shadows with bonus damage.
Skill_Synergy_SoulWard_Name,Soul Ward
Skill_Synergy_SoulWard_Desc,Creates a protective ward that heals and shields.
Skill_Synergy_Spellblade_Name,Spellblade
Skill_Synergy_Spellblade_Desc,A magic-infused blade strike dealing combined physical and magical damage.
Skill_Thief_Shadowstep_Name,Shadowstep
Skill_Thief_Shadowstep_Desc,Increases chance to evade incoming attacks through superior agility.
Skill_Thief_SneakAttack_Name,Sneak Attack
Skill_Thief_SneakAttack_Desc,A stealthy strike that deals physical damage plus bonus damage based on Agility.
Skill_Thief_TrapSense_Name,Trap Sense
Skill_Thief_TrapSense_Desc,Enhanced ability to detect and disarm traps in the dungeon.
Skill_Thief_Vanish_Name,Vanish
Skill_Thief_Vanish_Desc,Disappear into the shadows, becoming untargetable for a short duration.
