ButtonYes,Yes
WindowHarvestedCrops,Harvested Crops
ButtonBuild,Build
BuildingCostFormat,Cost {0} G
LabelTillingSoil,Tilling Soil
LabelPlantingCrops,Planting Crops
WindowAppearance,Appearance
WindowJobInfo,Job Info
WindowMonsters,Monsters
WindowSaveGame,Save Game
WindowLoadGame,Load Game
DialogReallyQuit,Really Quit?
DialogReallyDiscard,Sell Item?
DialogConfirmPurchase,Confirm Purchase
DialogConfirmSave,Confirm Save
DialogConfirmLoad,Confirm Load
ConfirmQuitMessage,Are you sure you want to quit?
ConfirmExitMessage,Are you sure you want to exit?
ConfirmQuitToTitleMessage,Are you sure you want to quit to title?
ConfirmDiscardMessage,Send to Second Chance shop?
ConfirmOverwriteSaveSlot,Overwrite save in slot {0}?
ConfirmLoadSaveSlot,Load save from slot {0}?
HudPitLevel,Pit Lv. {0}
HudGold,Gold: {0}
HudLevelPrefix,Lv 
TabWindow,Window
TabSession,Session
TabButtons,UI Options
SettingsAlwaysOnTop,Always On Top
SettingsAutoScrollToHero,Auto-scroll to Hero
SettingsSwapMonitor,Swap Monitor
SettingsYOffset,Y Offset: {0}
SettingsZoom,Zoom: {0}x
SettingsWindowSize,Window Size:
SettingsWindowSizeNormal,Normal
SettingsWindowSizeHalf,Half
SettingsDockTop,Dock Top
SettingsDockBottom,Dock Bottom
SettingsDockCenter,Dock Center
SettingsGameSession,Game Session
SettingsReplenishLabel,Replenish Button Thresholds
SettingsReplenishThresholdHint,(HP or MP must be below this level to replenish)
SettingsHpThreshold,HP Threshold: {0}%
SettingsMpThreshold,MP Threshold: {0}%
SettingsHideBarLabel,Hide Bar Settings
SettingsAutoHideUIBars,Auto-hide UI Bar(s)
SettingsHideButtonBar,Hide Button Bar
SettingsHideShortcutBar,Hide Shortcut Bar
SettingsHideEventConsole,Hide Event Console
TabInventory,Inventory
TabBehavior,Behavior
TabHeroInfo,Hero Info
TabMercenaries,Mercenaries
HeroNameLabel,Name: {0}
HeroJobLabel,Job: {0}
HeroLevelLabel,Level: {0}
HeroJobLevelLabel,Job Level: {0}
HeroCurrentJpLabel,Current JP: {0}
HeroTotalJpLabel,Total JP: {0}
HeroStatsLabel,STR:{0} AGI:{1} VIT:{2} MAG:{3}
LabelJobSkills,Job Skills
LabelSynergySkills,Synergy Skills
LabelSynergyEffects,Synergy Effects
HeroNoCrystalBound,No crystal bound
HeroNoJobSkillsAvailable,No job skills available
HeroNoSynergySkillsDiscovered,No synergy skills discovered
HeroNoActiveSynergyEffects,No active synergy effects
MercenaryNameLabel,Mercenary Name
MercenaryJobLevelLabel,Job: {0}  Lv: {1}
MercenaryHpLabel,HP: {0}
MercenaryMpLabel,MP: {0}
MercenaryStrLabel,STR: {0}
MercenaryAgiLabel,AGI: {0}
MercenaryVitLabel,VIT: {0}
MercenaryMagLabel,MAG: {0}
MercenaryCostLabel,Cost: {0} gold
MercenaryNoMercenariesHired,No mercenaries hired
MercenaryNoJobSkills,No job skills
BehaviorPitPriority,Pit Priority
BehaviorHealPriority,Heal Priority
BehaviorPitPriorityTooltip,What does the party care about in the pit?
BehaviorHealPriorityTooltip,What does the Party and Replenish button do to heal HP or MP?
BehaviorBattleTactics,Battle Tactics
BehaviorTacticBlitz,Blitz
BehaviorTacticStrategic,Strategic
BehaviorTacticDefensive,Defensive
BehaviorTacticBlitzDesc,  Max damage, deprioritize healing
BehaviorTacticStrategicDesc,  Balanced attacks and healing
BehaviorTacticDefensiveDesc,  Prioritize survival, heal at 60%
BehaviorConsumableOptions,Consumable Options
BehaviorUseConsumablesOnMerc,Use consumable items on mercenaries
BehaviorMercCanUseConsumables,Mercenaries can use consumable items
BehaviorAutoEquipOptions,Auto Equip Options
BehaviorAutoEquipHero,Auto Equip Hero
BehaviorAutoEquipMercenaries,Auto Equip Mercenaries
AppearanceNameLabel,Name:
AppearanceHairstyle,Hairstyle {0}
AppearanceSkin,Skin {0}
AppearanceHairColor,Hair Color {0}
AppearanceShirt,Shirt {0}
AppearanceRolePrefix,Role: 
AppearanceSkillsLabel,Skills:
AppearanceNoJobSkills,No job skills
SaveLoadTimeHeader,TIME
SaveLoadEmptySlot,- Empty -
SaveLoadLevelLabel,Level {0}
SaveLoadUnknown,Unknown
StencilSynergyStencils,Synergy Stencils
StencilSelectPrompt,Select a stencil to view details
MonsterNoAlliedMonsters,No allied monsters yet.
ItemSellPrice,Sell Price: {0}G
ItemRestoresHp,Restores {0} HP
ItemFullyRestoresHp,Fully restores HP
ItemRestoresMp,Restores {0} MP
ItemFullyRestoresMp,Fully restores MP
ItemClassesPrefix,Classes: 
StatBonusStrength,+{0} Strength
StatBonusAgility,+{0} Agility
StatBonusVitality,+{0} Vitality
StatBonusMagic,+{0} Magic
StatBonusAttack,+{0} Attack
StatBonusDefense,+{0} Defense
StatBonusHp,+{0} HP
StatBonusMp,+{0} MP
StatDiffStrength,{0} Strength
StatDiffAgility,{0} Agility
StatDiffVitality,{0} Vitality
StatDiffMagic,{0} Magic
StatDiffAttack,{0} Attack
StatDiffDefense,{0} Defense
StatDiffHp,{0} HP
StatDiffMp,{0} MP
SkillLearned,(Learned)
SkillInsufficientJp,(Insufficient JP)
SkillEffectsLabel,Effects:
SkillActivePatternNote,(Active only while pattern is formed)
SkillProgress,Progress: {0} / {1} SP
SkillJpCost,Cost: {0} JP
SkillOwnerFormat,{0} ({1})
SkillActiveMultiplier,Active: {0}x (Multiplier: {1}x)
EquipPreviewChanges,Changes
TabCrystals,Crystals
CrystalForgeTitle,Crystal Forge
CrystalForgeTitleTooltip,Combine mastered crystals to form more powerful crystal
CrystalForgeButton,Forge
CrystalInventoryTitle,Crystal Inventory
CrystalQueueTitle,Crystal Queue
CrystalQueueTitleTooltip,Queue next jobs for Hero for future runs
CrystalCreateButton,Create
CrystalCreateButtonTooltip,Create a new crystal for a selected job
CrystalCardJobLabel,Job: {0}
CrystalCardLevelLabel,Level: {0}
CrystalCardJobLevelLabel,Job Level: {0}
CrystalCardStatsLabel,STR:{0} AGI:{1} VIT:{2} MAG:{3}
CrystalCardJobSkillsLabel,Job Skills
CrystalCardSynergySkillsLabel,Synergy Skills
CrystalTooltipCombo,Combo
CrystalCreationTitle,Create Crystal
CrystalCreationJobLabel,Select Job:
CrystalCreationCreateButton,Create
CrystalForgeNeedsTwoCrystals,Select 2 crystals to forge
CrystalQueueEmpty,(empty)
CrystalInventoryEmpty,No crystals in collection
DialogConfirmForge,Confirm Forge
ConfirmForgeMessage,Combine these 2 crystals into a Combo Crystal?
CrystalInventoryFull,Crystal inventory is full
ButtonDismiss,Dismiss
ButtonDiscard,Sell
DialogConfirmDismissMercenary,Dismiss Mercenary
ConfirmDismissMercenaryMessage,Are you sure you want to dismiss {0}? Their gear will be returned to your inventory.
WindowSecondChanceShop,Second Chance Shop
TabItems,Items
TabSeeds,Seeds
SecondChanceBuyPrompt,Buy for {0} gold?
SecondChanceBuyQtyPrompt,Buy {0}?
SecondChanceBuyTotal,Total: {0} gold
SecondChanceNoGold,Not enough gold!
SecondChanceSellPrompt,Sell for {0} gold?
SecondChanceOwnedCount,Owned: {0}
SecondChanceNeedCount,Need: {0}

# Event Console Messages
ConsoleAttack,{0} attacks {1} for {2} damage!
ConsoleSkillAttack,{0} uses {1} on {2} for {3} damage!
ConsoleBattleHealConsumable,{0} uses {1} on {2}. Restored {3} HP.
ConsoleOutBattleHealConsumable,{0} used {1}. Restored {2} HP.
ConsoleHealSkill,{0} uses {1} on {2}. Restored {3} HP.
ConsoleBuffSkill,{0} casts {1} on {2}. {3}!
ConsoleAttackMiss,{0} attacks {1} but misses!
ConsoleSkillAttackMiss,{0} uses {1} on {2} but misses!
ConsoleCritical,Critical!
ConsoleMercenaryDied,{0} was killed by {1}.
ConsoleHeroDied,{0} has ended {1}'s run. {2}
ConsoleHeroDiedPhrase1,Better luck next time...
ConsoleHeroDiedPhrase2,Don't have negative thoughts. Remember your mantra.
ConsoleHeroDiedPhrase3,Here's to new beginnings.
ConsoleHeroDiedPhrase4,Forging a powerful crystal may help.
ConsoleHeroDiedPhrase5,Visit the Second Chance Merchant.
ConsoleMonsterDied,{0} was defeated!
ConsoleHeroRespawn,{0} walks to the hero statue for his next chance
ConsoleCrystalPromotion,{0} ventures forth as a {1}!
ConsoleInnRest,Visiting inn to rest
ConsoleNightSleep,Turning in for the night
ConsoleMercenaryHired,{0} {1} was hired
ConsoleMonsterAttack,{0} attacks {1} for {2} damage!
ConsoleItemFound,{0} found {1}.
ConsoleSeedsFound,{0} found {1}x {2} seeds!
ConsoleMonsterRecruited,{0} has recruited {1} the {2}
ConsoleAutoEquip,{0} equipped {1}.
ConsoleWelcome,Welcome, {0}!
ConsoleWelcomePhrase1,Good luck on your adventure.
ConsoleWelcomePhrase2,Go forth and pursue strength and wealth.
ConsoleWelcomePhrase3,May you get many returns today!
ConsoleTrapTriggered,{0} triggered a trap for {1} damage!
ConsoleTrapDisarmed,Trap disarmed!

# Add Monsters (Monster House)
ButtonAddMonsters,Add Monsters
AddMonsterWindowTitle,Add Monsters
AddMonsterRemainingSpace,Remaining Space: {0}
AddMonsterDaytimeLabel,Daytime
AddMonsterNocturnalLabel,Nocturnal
TabAutoShop,Auto Shop
SettingsAutomateSeedPurchases,Automate Seed Purchases
SettingsAutoShopGoldBuffer,Gold Buffer: {0}
SettingsAutomateSeedPurchasesTooltip,Buy seeds for planned crops as soon as gold is available
SettingsAutoShopGoldBufferTooltip,No auto purchases will be made when gold is below this value
SettingsAutoSellCrops,Auto-Sell Crops
SettingsAutoSellCropsTooltip,When a crop reaches max stack quantity, sell it automatically
ButtonDesignateCrops,Designate Crops
WindowAutoSellCropTypes,Auto-Sell Crop Types
AddMonsterConfirmPrompt,Add {0} for {1} Gold

# Crop Storage options (issue #285)
ButtonMoveAllCrops,Move all crops
ButtonSellAllCrops,Sell all crops
ButtonSellBuilding,Sell building
ButtonSell,Sell
DialogMoveCropsPrompt,Really move and redistribute crops to other storages?
DialogSellStorageCropsPrompt,Really sell all crops in this storage for {0} gold?
DialogSellBuildingPrompt,Really sell this building for {0} gold?
DialogSellCropStackPrompt,Really sell {0} stack for {1} gold?
DialogSellAllCropsPrompt,Really sell ALL of your crops for {0} gold? You will be left with no crops.
